,0
0,group_2335
1,group_1644
2,group_473
3,group_33
4,group_887
5,group_1606
6,mafA1
7,group_310
8,group_545
9,group_899
10,group_2779
11,group_1533
12,group_20
13,group_1627
14,group_1607
15,group_1622
16,group_1680
17,group_3388
18,group_2490
19,group_3524
20,group_2576
21,group_3591
22,group_3804
23,group_949
24,group_3615
25,group_1446
26,group_3516
27,group_633
28,group_3687
29,group_478
30,group_529
31,pilE_4
32,dnaC_1
33,group_2651
34,comEA
35,group_3062
36,lagD_2
37,group_2532
38,group_347
39,group_412
40,group_2410
41,pilE_8
42,group_243
43,group_1656
44,group_659
45,group_3125
46,group_1801
47,group_996
48,group_2005
49,group_224
50,group_1136
51,group_59
52,group_1612
53,group_1455
54,piiC_1
55,group_183
56,group_1010
57,group_126
58,group_2666
59,group_914
60,group_1659
61,group_1530
62,group_461
63,group_1635
64,group_34
65,group_2432
66,group_1954
67,group_484
68,group_636
69,group_108
70,group_1877
71,group_1135
72,group_969
73,group_1088
74,group_2380
75,group_1451
76,group_1403
77,group_3527
78,group_632
79,group_2833
80,aroG
81,group_1462
82,group_276
83,pilE1_2
84,group_2523
85,group_2082
86,group_3525
87,group_2268
88,group_2307
89,group_153
90,group_955
91,group_3078
92,group_3608
93,group_2505
94,group_3519
95,ptlG
96,group_185
97,group_1537
98,group_1977
99,group_8
100,pilE1_6
101,group_1758
102,group_1945
103,group_2406
104,group_2516
105,group_2110
106,group_3228
107,group_11
108,group_355
109,group_3128
110,group_3517
111,group_223
112,rlmD
113,group_1503
114,group_95
115,group_453
116,group_2383
117,group_2456
118,fimA
119,group_2306
120,group_3520
121,group_281
122,group_195
123,group_987
124,group_1912
125,group_3815
126,group_90
127,group_3521
128,group_3305
129,group_983
130,group_557
131,group_3606
132,cas1
133,group_2565
134,group_3183
135,group_901
136,group_1460
137,pilE_6
138,group_3019
139,group_144
140,group_3626
141,group_3304
142,group_3523
143,group_3316
144,group_79
145,group_2570
146,group_1127
147,group_3306
148,group_1667
149,group_2316
150,group_98
151,group_512
152,group_462
153,group_31
154,group_454
155,group_321
156,group_3526
157,group_3518
158,aidA-I
159,group_3801
160,group_2447
161,group_2569
162,group_3551
163,group_984
164,group_3802
165,group_3803
166,group_1482
167,group_3515
168,group_2040
169,group_3549
170,group_1488
171,group_176
172,group_105
173,group_3522
174,group_3299
175,group_3550
176,group_269
177,tufA
178,group_1616
179,group_1383
180,group_922
181,group_3816
182,group_3151
183,group_738
184,group_182
185,group_3080
186,group_2418
187,group_388
188,group_475
189,group_3627
190,group_357
191,group_3297
192,group_925
193,group_2510
194,group_1598
195,group_467
196,group_435
197,group_3159
198,group_1858
199,group_3548
200,group_3805
201,group_556
202,group_3298
203,group_1710
204,rocG
205,group_1918
206,group_3806
207,group_3242
208,group_1919
209,group_3597
210,group_515
211,group_3614
212,group_3598
213,group_15
214,group_3547
215,group_1670
216,group_1352
217,group_1847
218,group_2642
219,group_2847
220,group_3202
221,group_2836
222,group_2673
223,group_2708
224,group_2513
225,cdiA_1
226,mbeA
227,group_1448
228,group_2325
229,group_974
230,group_1472
231,group_613
232,group_1953
233,group_607
234,group_968
235,group_3794
236,group_3325
237,group_3102
238,group_3561
239,group_3326
240,group_829
241,group_1025
242,group_2099
243,group_3103
244,group_257
245,pilE_16
246,mafA1_2
247,group_103
248,group_2948
249,group_1504
250,group_650
251,group_2577
252,group_1492
253,group_764
254,group_1278
255,group_1923
256,group_227
257,group_2401
258,group_3540
259,group_2851
260,group_1479
261,group_1376
262,cycA
263,group_1615
264,group_1438
265,group_356
266,adhA
267,group_1485
268,group_1463
269,group_1573
270,group_3596
271,group_2800
272,group_2631
273,group_2266
274,group_2702
275,group_3530
276,group_2142
277,group_459
278,group_2384
279,group_1576
280,group_2850
281,group_2961
282,group_102
283,group_979
284,gspA
285,group_3605
286,group_1683
287,group_1859
288,group_311
289,group_192
290,group_1909
291,group_3324
292,group_590
293,group_42
294,group_132
295,group_1623
296,group_2672
297,mepH_2
298,group_638
299,nosD_2
300,group_2547
301,group_2795
302,group_1561
303,group_606
304,group_2520
305,group_3390
306,group_141
307,group_1663
308,group_1526
309,group_976
310,group_913
311,group_3628
312,group_3216
313,group_12
314,group_3093
315,group_1929
316,group_3836
317,tbpB_2
318,group_924
319,group_2283
320,group_975
321,group_53
322,group_1651
323,group_3837
324,group_3374
325,group_978
326,group_1905
327,group_2445
328,group_1405
329,group_1329
330,group_3377
331,group_3654
332,group_910
333,group_1523
334,group_1608
335,rusA
336,group_2389
337,group_364
338,group_3162
339,group_38
340,group_926
341,group_490
342,group_343
343,group_4109
344,group_116
345,group_938
346,group_911
347,group_3607
348,group_244
349,traB
350,group_959
351,group_1775
352,group_3575
353,group_2643
354,group_2997
355,group_1500
356,group_2287
357,group_1911
358,group_387
359,group_2887
360,group_1610
361,ggt_2
362,group_3257
363,group_3431
364,group_3258
365,group_2701
366,group_2641
367,group_3432
368,group_1609
369,group_1125
370,group_3372
371,group_1000
372,group_1441
373,group_3653
374,group_3573
375,group_2301
376,group_1553
377,group_3373
378,group_2249
379,group_1602
380,group_2312
381,group_3657
382,group_3727
383,group_3574
384,group_514
385,group_960
386,group_2311
387,group_230
388,group_1969
389,group_1705
390,group_2587
391,rplP
392,group_1907
393,group_2696
394,group_618
395,group_555
396,group_27
397,group_655
398,group_3556
399,group_2517
400,group_1259
401,group_3553
402,group_945
403,group_3659
404,group_630
405,group_546
406,group_2557
407,group_2317
408,group_3463
409,group_3783
410,group_2341
411,group_2061
412,group_2514
413,socA
414,group_625
415,group_111
416,ygaZ
417,group_226
418,group_3393
419,group_3009
420,group_1706
421,group_2414
422,group_2265
423,group_455
424,group_3345
425,group_1968
426,group_3554
427,group_3502
428,group_1762
429,group_2413
430,group_3025
431,group_1476
432,group_3651
433,group_2525
434,group_1567
435,group_3572
436,group_1086
437,group_2683
438,group_905
439,group_2566
440,group_800
441,group_2744
442,group_2334
443,group_3154
444,group_181
445,group_3065
446,group_588
447,group_641
448,group_2101
449,group_952
450,group_2519
451,group_1632
452,group_344
453,group_1548
454,group_2332
455,group_1563
